{'eta': 0.494632649441734, 'gamma': 0.4458742156410683, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.6040739831410881, 'sampling_method': 'gradient_based', 'lambda': 2.9756997349109984, 'min_child_weight': 2, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04935875, 'tree_no': 50}
{'eta': 0.48544358671788523, 'gamma': 0.4675858604293053, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.9801324747094216, 'sampling_method': 'gradient_based', 'lambda': 2.964561086976569, 'min_child_weight': 2, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049874375, 'tree_no': 51}
{'eta': 0.498383404808045, 'gamma': 0.05877541050268853, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.6732333443404465, 'sampling_method': 'gradient_based', 'lambda': 2.130606536892193, 'min_child_weight': 6, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048106125, 'tree_no': 52}
{'eta': 0.47907900661680164, 'gamma': 0.04598438958471729, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.634973119305001, 'sampling_method': 'gradient_based', 'lambda': 2.425409876513715, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050684625, 'tree_no': 53}
{'eta': 0.4898425362765304, 'gamma': 0.41076307850588156, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6313891014706919, 'sampling_method': 'gradient_based', 'lambda': 2.8735272123121067, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04862175, 'tree_no': 54}
{'eta': 0.4893137632523294, 'gamma': 0.08895714798138554, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6011358372634907, 'sampling_method': 'gradient_based', 'lambda': 2.482401989698707, 'min_child_weight': 3, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.0486955, 'tree_no': 55}
{'eta': 0.4999830677696382, 'gamma': 0.03555037788756438, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.6215147920545956, 'sampling_method': 'gradient_based', 'lambda': 1.0818593479541525, 'min_child_weight': 2, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.0485485, 'tree_no': 56}
{'eta': 0.464107686295819, 'gamma': 0.02462819582028991, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.6981836713784354, 'sampling_method': 'gradient_based', 'lambda': 2.7872742786535283, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048253500000000005, 'tree_no': 57}
{'eta': 0.4833770302553377, 'gamma': 0.4660821190602945, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.7117461262536073, 'sampling_method': 'gradient_based', 'lambda': 2.8509468630063663, 'min_child_weight': 3, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.047664250000000005, 'tree_no': 58}
{'eta': 0.4944838214811609, 'gamma': 0.4396036519638927, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.6020302769834496, 'sampling_method': 'gradient_based', 'lambda': 2.9208437866664214, 'min_child_weight': 2, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049432250000000004, 'tree_no': 59}
