{'n_estimators': 500, 'learning_rate': 0.07063131647895801, 'gamma': 0.08730421885148698, 'max_depth': 12, 'subsample': 0.7151283749844433, 'sampling_method': 'gradient_based', 'reg_lambda': 0.4611633902161498, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9744241461477364, 'tree_no': 58}
{'n_estimators': 500, 'learning_rate': 0.07756140928234449, 'gamma': 0.24072582279678512, 'max_depth': 3, 'subsample': 0.7881588670461895, 'sampling_method': 'gradient_based', 'reg_lambda': 1.865895577742234, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9753616277221427, 'tree_no': 59}
{'n_estimators': 500, 'learning_rate': 0.17745744222342977, 'gamma': 0.6166770385801005, 'max_depth': 3, 'subsample': 0.8697473246611245, 'sampling_method': 'gradient_based', 'reg_lambda': 1.4121544942885913, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9758653540806606, 'tree_no': 60}
{'n_estimators': 500, 'learning_rate': 0.243009054670392, 'gamma': 0.6516435518823164, 'max_depth': 3, 'subsample': 0.7897910727612794, 'sampling_method': 'gradient_based', 'reg_lambda': 1.871741497444598, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.975842339478703, 'tree_no': 61}
{'n_estimators': 500, 'learning_rate': 0.02483700380989186, 'gamma': 0.4995398338722433, 'max_depth': 12, 'subsample': 0.6395835321617122, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9027927688066233, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9760355499127122, 'tree_no': 62}
{'n_estimators': 500, 'learning_rate': 0.138967881728869, 'gamma': 0.7553886187172716, 'max_depth': 3, 'subsample': 0.6244427957817847, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9219218920348953, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9748887476160203, 'tree_no': 63}
{'n_estimators': 500, 'learning_rate': 0.20314748666379834, 'gamma': 0.05444245314781804, 'max_depth': 12, 'subsample': 0.6210183858484887, 'sampling_method': 'gradient_based', 'reg_lambda': 1.50251285413836, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9718377088305489, 'tree_no': 64}
{'n_estimators': 500, 'learning_rate': 0.28984194588171946, 'gamma': 0.5167002147699573, 'max_depth': 3, 'subsample': 0.6424848929894977, 'sampling_method': 'gradient_based', 'reg_lambda': 1.9925328382413063, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9739517153748412, 'tree_no': 65}
{'n_estimators': 500, 'learning_rate': 0.1458299478878382, 'gamma': 0.19207824963329823, 'max_depth': 12, 'subsample': 0.9877713760789344, 'sampling_method': 'gradient_based', 'reg_lambda': 1.4382526318904305, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9758192809417754, 'tree_no': 66}
{'n_estimators': 500, 'learning_rate': 0.20212719953108296, 'gamma': 0.6204006957983749, 'max_depth': 12, 'subsample': 0.9209245662372081, 'sampling_method': 'gradient_based', 'reg_lambda': 0.07546344133793803, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9764331210191084, 'tree_no': 67}
{'n_estimators': 500, 'learning_rate': 0.05370380094104163, 'gamma': 0.3561982766411983, 'max_depth': 3, 'subsample': 0.7006746116132396, 'sampling_method': 'gradient_based', 'reg_lambda': 1.0929428559626326, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9779609957190423, 'tree_no': 68}
{'n_estimators': 500, 'learning_rate': 0.25581205245049027, 'gamma': 0.7084231779901345, 'max_depth': 3, 'subsample': 0.7806783096973554, 'sampling_method': 'gradient_based', 'reg_lambda': 0.13280180406744146, 'min_child_weight': 7, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.973901973265436, 'tree_no': 69}
